"Group","SHA1","ID","Folder","FileName","Title","[Removed]","Sort Title","Version","Year","Publisher","Zone","DumpStatus","Dump Info","Fixed","Trainer","Translation","Pirate","Cracked","Modified","Hack","Extra Parameters"
@,,00637d5949985ca0750f9481d6370629cfcbda68,,,"Space War!",,,"v rev20030930; Copyright Public Domain",2003,"Eric Ball",@,,,,,,,,,,,,,
"Fatal Run",,010773e4d837c4fe4e27b8996c3005435566e656,,,,,,"Video PAL",1990,Atari,,,,,,,,,,,,,,
"Alien Brigade",,019fbea42c09e1c0fe57d436ae51a3c02e6f6002,,,,,,"1990; Atari; PAL; CC2 Hack",,,,,,,,,,,,,,,,
"Senso 7800 DX2",,01a7072157b714dab4379f205faf1cede172fabc,,,,,,"Copyright Public Domain",2002,Taquart,,,,,,,,,,,,,,
"Beef Drop 7800",,01d8ef76dc2eb2845418bbe5d1d57aa1d591fd63,,,,,,V20041028-Rev06,,,,,,,,,,,,,,,,
"3D Asteroids",,02107190aaeeb578f5c11180e20b5061d51306cf,,,,,,"Video NTSC; Language proto",1984,Atari,,b,"b 1",,,,,,,,,,,
Joust,,04e1355f0109864d470a0ff6f8345436a7665b93,,,,,,"Video NTSC",1987,Atari,,,"a 1",,,,,,,,,,,
"Senso 7800 DX3",,064fdb39af45d7a12731ae8904e129fa3f449cf5,,,,,,"Copyright Public Domain",2003,Taquart,,,,,,,,,,,,,,
"Atari 7800 Symbolic Debug Monitor & Downloader",,0681d8c118e689df77e8710e71008810da8f7a4c,,,,,,"Video NTSC",1988,Atari,,b,"b 1",,,,,,,,,,,
"NTSC Encryption Backdoor Test",,0728021230e72ec7becbf2d6638415c1cfcd9268,,,,,,"2000; PD",,,,,,,,,,,,,,,,
"Kung-Fu Master",,0ab29674e371db040e41060ae5b3512a3c7f5120,,,,,,"Video PAL",1989,"Absolute Entertainment",,,,,,,,,,,,,,
"Rescue on Fractalus",,0b4c23d54646fcb49a1d272c6b05f7eb472be7bc,,,,,,"1984; Atari; Prototype; CC2 Hack",,,,,,,,,,,,,,,,
